genename	transcript	log2FoldChange	padj
CASC5	NM_144508,NM_170589	1.8011736184	5.15514648384089E-022
GULP1	NM_001252668,NM_001252669,NM_016315,NR_045562,NR_045563	-0.8700649048	0.051582835
C8orf48	NM_001007090	-0.1577770398	NA
KANSL3	NM_001115016,NR_047653,NR_047654,NR_047655,NR_047656,NR_047657,NR_047658	-0.4512481758	0.0027162115
ZNF658B	NR_003528,NR_003528_chr9:41588832_41609544	-0.4231332859	0.3607494477
ZNF254	NM_001278661,NM_001278662,NM_001278663,NM_001278664,NM_001278665,NM_001278677,NM_001278678,NM_203282	0.1441728897	0.4393009507
ENO3	NM_001193503,NM_001976,NM_053013	-0.7571150148	0.1456315025
LONP1	NM_001276479,NM_001276480,NM_004793,NR_076392	0.0857544974	0.761702547
LPHN2	NM_001297704,NM_001297705,NM_001297706,NM_012302	-0.0596175108	0.9201305965
FAM214B	NM_025182	0.1453621348	0.7228007417
TNK1	NM_001251902,NM_003985	-0.1049046126	0.7079737566
DPY19L1	NM_015283	0.2338150174	0.2753192606
RPH3AL	NM_001190411,NM_001190412,NM_001190413,NM_006987	0.1985496283	0.6244002734
C4A	NM_001252204	1.2975344825	0.0108859584
SIMC1	NM_198567	0.5756550444	0.0768588938
PCP2	NM_001271830,NM_174895	-1.6371790468	0.0015435334
TMEM243	NM_024315	-0.1369614054	0.6085260277
BCR	NM_004327,NM_021574	0.3532288354	0.0554558713
NCAPD3	NM_015261	0.6416537643	0.0004383307
VEGFC	NM_005429	0.5830857605	0.2961498375
PDSS2	NM_020381	0.1525461996	0.5493207637
DFNB59	NM_001042702	0.0418642349	NA
FTCD	NM_006657,NM_206965	-0.1993108504	NA
KCNK1	NM_002245	-0.4361956998	0.0321107933
HSBP1	NM_001537	-0.0756998237	0.5845746067
CPNE1	NM_001198863,NM_003915,NM_152925,NM_152926,NM_152927,NM_152928,NR_037188	0.2852713684	0.337076286
CLPP	NM_006012	0.3649213025	0.1441300185
NEDD8-MDP1	NM_001199823	-0.2369996783	0.6214082477
LOC101926889	NR_109994	-0.0083789721	0.989109658
BCL9	NM_004326	0.1841024257	0.4494595825
SMTNL2	NM_001114974,NM_198501	0.3911531092	0.303996781
ZNF563	NM_145276	1.6490846613	0.0001934897
MRPL40	NM_003776	-0.1652694901	0.5452131225
STARD3NL	NM_032016	0.285750334	0.2372231329
CCNT2	NM_001241,NM_058241,NR_037649	-0.7113322701	2.37393470385648E-005
SFMBT1	NM_016329	0.3130340666	0.0967678938
DGCR5	NR_002733,NR_045121,NR_110533	0.842596311	NA
AMZ2P1	NR_026903	-0.7216205911	0.007697156
RNVU1-8	NR_121645	0.0700797825	NA
DAK	NM_015533	0.3697688202	0.0320228547
MED10	NM_032286	0.0765056684	0.7730779045
ADH5	NM_000671	0.2110636241	0.1799536256
PNPLA4	NM_001142389,NM_001172672,NM_004650	0.0132385966	0.9801489547
GAPVD1	NM_001282679,NM_001282680,NM_001282681,NM_015635	0.0013924333	0.9931601822
KSR2	NM_173598	1.5221792401	7.87506725648071E-007
CATSPER2	NM_001282309,NM_001282310,NM_054020,NM_172095,NR_110319	-0.9430658873	0.0893268857
LEMD3	NM_001167614,NM_014319	-0.1544179738	0.372747219
TRMT1	NM_001136035,NM_001142554,NM_017722	-0.1380925355	0.6868011429
NUP62CL	NM_017681,NR_033676	0.2691205732	0.6803655465
LINC00623	NR_024510,NR_024510_chr1:149576466_149619134,NR_024511,NR_024511_chr1:149576466_149619134,NR_024584,NR_024584_chr1:149575481_149619134,NR_109754,NR_109754_chr1:149576466_149619134	-0.0311203169	0.9518510219
FAHD1	NM_001018104,NM_001142398,NM_031208	-0.1570266573	0.3687422106
SLC1A1	NM_004170	1.1667410919	0.0076129849
DHTKD1	NM_018706	1.2394772693	1.15198993590657E-009
PPP1R12A	NM_001143885,NM_001143886,NM_001244990,NM_001244992,NM_002480	-0.1777936797	0.1824467696
FXR2	NM_004860	-0.2542315992	0.1207514303
CCNG1	NM_004060,NM_199246	0.182347091	0.2416340608
KRAS	NM_004985,NM_033360	0.0232290021	0.9100741339
SMEK2	NM_001122964,NM_001282850,NM_020463	-0.0551376738	0.7447584663
DNA2	NM_001080449,NR_102264	0.6889497257	0.000480056
C4orf27	NM_017867	0.4582467202	0.1740743984
DDX47	NM_016355,NM_201224	-0.0049129392	0.9881612407
RASL10A	NM_006477	0.1965231681	NA
RPS4X	NM_001007	0.5157108262	1.16234653442224E-005
STXBP5	NM_001127715,NM_139244	-0.0235228448	0.9033243152
SRD5A3-AS1	NR_037969	0.0782007136	NA
NT5M	NM_020201	0.5695988825	0.3272674062
LINC00657	NR_027451	-0.0527384998	0.8353082573
DNAJC6	NM_001256864,NM_001256865,NM_014787	0.3111582252	0.1342398042
GRB2	NM_002086,NM_203506	0.445168251	6.98642855034827E-005
AKR1C1	NM_001353	-1.515094427	0.001281636
IDI2	NM_033261	-0.7451225059	0.1285904408
LRRC17	NM_001031692,NM_005824	-0.0905460178	NA
SLC8B1	NM_024959	-0.3276876533	0.3071163463
INHBE	NM_031479	1.6413369405	0.0018393273
STARD4-AS1	NR_040093	0.5168869201	NA
CXorf23	NM_198279	-0.6308982324	0.0121559216
CNGA1	NM_000087,NM_001142564	0.4460599743	NA
SCIN	NM_001112706,NM_033128	-2.8064128932	1.12092822174639E-022
SLC38A2	NM_018976	-0.3968196605	0.04340665
PROC	NM_000312	-0.0445511411	NA
LOC101927797	NR_109925	-0.5155155966	NA
USP46	NM_001134223,NM_001286767,NM_001286768,NM_022832	-0.0249070056	0.909870667
TYRO3P	NR_028510	0.2878782973	0.6711896657
LINC01006	NR_103858	-0.0281237836	0.9688651942
TCEAL8	NM_001006684,NM_153333	-0.0898800817	0.890004189
RRP12	NM_001145114,NM_001284337,NM_015179	-0.1187572117	0.6865964949
PAQR7	NM_178422	-0.6263259918	0.0171296061
EEF2K	NM_013302	0.7981990008	7.37848618544531E-008
HTRA1	NM_002775	0.0659012033	0.8725757358
PSMC3	NM_002804	0.5803646982	0.0045491849
REG4	NM_001159352,NM_001159353,NM_032044	1.0156507441	NA
PIFO	NM_001300831,NM_181643,NR_125338	0.1743021463	0.783070121
CFAP99	NM_001193282	0.0495390967	NA
NUCB1	NM_006184	-0.2473825483	0.0755461281
CIRBP	NM_001280,NM_001300815,NM_001300829,NR_023312,NR_023313	-0.0787692066	0.7630193073
PLXNA4	NM_001105543,NM_020911,NM_181775	-1.5696797888	1.47653894702326E-010
RND1	NM_014470	-0.5095422217	0.3311916806
C16orf58	NM_022744	-0.0818083951	0.6887941396
ZIC5	NM_033132	0.4028312398	0.4578327853
LIMD2	NM_030576	0.6367923239	0.1496357423
PITX1	NM_002653	0.5211123002	0.2783860598
FMNL1	NM_005892	0.1057783996	0.8572028869
EEF2	NM_001961	0.6828392188	3.79702532443557E-014
GLOD5	NM_001080489	-0.3331195449	NA
ST3GAL6	NM_001271142,NM_001271145,NM_001271146,NM_001271147,NM_001271148,NM_006100	0.0850476395	NA
BCDIN3D-AS1	NR_027499,NR_027500,NR_027501	-0.3063117809	0.5771075186
ACTR6	NM_022496,NR_048568,NR_048569	-0.5844200565	0.004181788
TNFAIP1	NM_021137	0.1041630229	0.5581764823
ARNT2	NM_014862	0.2185573383	0.42301948
TNFSF13	NM_001198622,NM_001198623,NM_001198624,NM_003808,NM_172087,NM_172088,NR_073490	0.1904842871	0.7095624952
SLC39A10	NM_001127257,NM_020342	-1.0170738166	9.48013064856351E-010
FCGR1A	NM_000566	0.0556247993	0.9291629126
JMJD8	NM_001005920	-0.5035581825	0.0012178409
TFB2M	NM_022366	-0.8394757201	0.0001255508
PDE4C	NM_000923,NM_001098818,NM_001098819,NR_040546	-0.4298519233	NA
KDELC2	NM_153705	1.4213350901	1.73397429367711E-007
LINC01116	NR_040001	0.4527746061	0.4542474058
LRRC1	NM_018214	-0.1043714294	0.5952555501
LOC100506985	NR_109781	0.545487869	0.3718523296
SCPEP1	NM_021626	-0.0250929155	0.9139892413
CMYA5	NM_153610	-0.8974245752	0.0004364171
PSMD2	NM_001278708,NM_001278709,NM_002808	0.5504919132	0.0076613546
FAM149A	NM_001006655,NM_015398	1.2520321964	NA
BIRC3	NM_001165,NM_182962	-1.2212327936	0.0132375589
LRRN2	NM_006338,NM_201630	-0.1283757757	0.8479949799
TTLL11	NM_001139442,NM_194252	0.4976277472	0.2858343599
C14orf79	NM_174891	-0.6672988868	0.0054540542
LIN7A	NM_004664	-1.3639171663	3.50851930010698E-005
CYBRD1	NM_001127383,NM_001256909,NM_024843	1.3073440998	0.0131742006
TYMSOS	NM_001012716	0.7558873006	0.1497320629
PSMC1	NM_002802	0.206946222	0.1728243296
ROMO1	NM_080748	0.2394331117	0.2378502774
ZCCHC8	NM_017612	-0.2122124	0.2693860988
PTMS	NM_002824	0.2571780541	0.2372231329
RALGAPA1	NM_001283043,NM_001283044,NM_014990,NM_194301	-0.2764843016	0.0503770106
TBCB	NM_001281,NM_001300971	0.2824502501	0.1169827084
SIRT6	NM_001193285,NM_016539	0.0551067407	0.8755315298
TRIB1	NM_001282985,NM_025195	0.2826458211	0.1608631766
SLMO2	NM_001256403,NM_016045	-0.6921100131	1.73546863914123E-006
RASA4CP	NR_024116	0.6706624198	0.2397895981
NPHP3-ACAD11	NR_037804	-0.895138412	0.0025196539
MALSU1	NM_138446	0.2148236406	0.465598937
AXIN1	NM_003502,NM_181050	-0.020472654	0.9242594464
LYRM1	NM_001128301,NM_001128302,NM_001302835,NM_001302836,NM_020424,NR_126516,NR_126520,NR_126521,NR_126527,NR_126528	-0.0148264932	0.9624362515
GRHL1	NM_198182	-0.2340314309	0.2473962935
NUP153	NM_001278209,NM_001278210,NM_005124	0.4116218545	0.0031880146
RNF39	NM_025236,NM_170769	0.1183008633	0.8465855922
ZNF813	NM_001004301	1.3232295083	0.0001207411
CNPY4	NM_152755	0.2025484122	0.5594386067
LOC100507291	NR_121608,NR_121609	0.1736067156	0.7879673289
SEC62	NM_003262	-0.6284803693	0.0021694696
STRADB	NM_001206864,NM_018571	-0.1229388303	0.7442893166
PRIMA1	NM_178013	1.2505530518	NA
AOC2	NM_001158,NM_009590	-0.5628449507	0.349460519
TLE2	NM_001144761,NM_001144762,NM_001300846,NM_003260	-0.0624281846	0.8750365779
ERVV-1	NM_152473	-0.4883056167	NA
ZDHHC8	NM_001185024,NM_013373	-0.9921433046	1.79325547207049E-005
SRGAP1	NM_020762	-0.7987148148	1.0486512019219E-007
IVL	NM_005547	-0.1051558261	NA
UBE2A	NM_001282161,NM_003336,NM_181762	0.2618495591	0.1041079997
RAP2C-AS1	NR_110410	0.8061116423	0.1266576221
STAT2	NM_005419,NM_198332	-0.4558397501	0.002235962
GPR176	NM_001271854,NM_001271855,NM_007223	0.1579661499	0.6726743013
NLK	NM_016231	-0.3726088111	0.0259045049
ADD1	NM_001119,NM_001286645,NM_014189,NM_014190,NM_176801	0.3115576071	0.0179437921
GAS8	NM_001286205,NM_001286208,NM_001286209,NM_001481	-0.2513458266	0.193985723
SNAR-A3	NR_024214,NR_024214_chr19:50595745_50595866,NR_024214_chr19:50601082_50601203,NR_024214_chr19:50604147_50604268,NR_024214_chr19:50607211_50607332,NR_024214_chr19:50610270_50610391,NR_024214_chr19:50615624_50615745,NR_024214_chr19:50620976_50621097,NR_024214_chr19:50626330_50626451,NR_024214_chr19:50631658_50631779	0.2351325788	0.7261588124
NUP93	NM_001242795,NM_001242796,NM_014669	0.6918411729	0.005376887
ATP5G3	NM_001002258,NM_001190329,NM_001689	0.3986147493	0.0139930333
BAG6	NM_001098534,NM_001199697,NM_001199698,NM_004639,NM_080702,NM_080703	0.0679187203	0.7610326494
PLSCR3	NM_001201576,NM_020360	0.0955935611	0.8276064837
ADCY9	NM_001116	-0.2945446966	0.0279542752
SF3A3	NM_006802	0.240448722	0.2002628684
DCAF5	NM_001284206,NM_001284207,NM_001284208,NM_003861	-0.2751183425	0.0740909097
CHCHD3	NM_017812	0.2876626847	0.0796302198
EFTUD2	NM_001142605,NM_001258353,NM_001258354,NM_004247	0.2220713586	0.2549130859
RPS12	NM_001016	0.4152741366	0.0003915872
FAM86B1	NM_001083537,NR_003494	0.8048162407	0.1180733069
RAPGEF1	NM_005312,NM_198679	0.2735308852	0.0612937986
NCAM2	NM_004540	-0.0254308044	0.9287158492
RFX7	NM_022841	0.3672564775	0.1294556022
SDCCAG8	NM_006642	-0.6962246813	0.006845172
ADORA1	NM_000674,NM_001048230	0.4717097327	0.3398127651
MAP4K3	NM_001270425,NM_003618	0.2234454358	0.2819536675
PIGV	NM_001202554,NM_017837	0.1771457244	0.4393512561
UMAD1	NM_001302348,NM_001302349,NM_001302350	0.1450117069	0.6628448441
THAP5	NM_001130475,NM_001287598,NM_001287599,NM_001287601,NM_182529	-0.6471144811	0.0002048385
OTUB2	NM_023112	0.3360567141	0.3467020769
ACTA2	NM_001141945,NM_001613	0.4480700204	0.1796365448
RPS10-NUDT3	NM_001202470	0.1278755675	NA
BCL11B	NM_001282237,NM_001282238,NM_022898,NM_138576	0.2765320179	0.3747530831
CACYBP	NM_001007214,NM_014412	0.3210718407	0.02181823
KIF1A	NM_001244008,NM_004321	1.1070345065	1.06317341123441E-005
TAPT1-AS1	NR_027696,NR_027697	0.0250853643	0.9719269504
METTL18	NM_033418	-0.9110836138	6.64940797751583E-005
KATNAL2	NM_031303	0.9047139039	0.0861755995
PVRL4	NM_030916	-0.4685137116	0.0077134051
TRMU	NM_001282782,NM_001282783,NM_001282784,NM_001282785,NM_018006,NR_104240,NR_104241	-0.4943901077	0.0643392461
GCN1L1	NM_006836	0.1695852939	0.4580420564
COQ10B	NM_025147	-0.7392217283	1.60674021179751E-005
DUSP28	NM_001033575	-0.3671471525	0.4241866618
ZNF599	NM_001007248	-0.4952415374	0.3439604595
C12orf79	NM_001256373,NM_001256374,NM_001256375,NR_046159,NR_046160	-1.3049174098	0.016175497
RAD54L	NM_001142548,NM_003579	1.7223166018	4.34740953262228E-007
TPRN	NM_001128228	0.2825879259	0.1059761847
G6PD	NM_000402,NM_001042351	0.9140971751	0.0267348489
MRPS24	NM_032014	0.7968283991	0.0007235517
KLHL8	NM_001292003,NM_001292006,NM_001292007,NM_020803,NR_120447	-0.0084502675	0.9731203586
HOXC9	NM_006897	-0.0001075088	0.9998475906
DANCR	NR_024031	-0.2917880616	0.1051573214
CMTR2	NM_001099642,NM_018348	-0.6173259386	4.64471985647592E-006
HEYL	NM_014571	0.4841090573	0.4162746316
CEP104	NM_014704	-0.1221590897	0.531562339
PLEKHG2	NM_022835	0.0675663522	0.8589797589
UBE2E2	NM_152653	1.433398609	3.75237481795843E-007
PARP3	NM_001003931,NM_005485	-0.8837336833	0.0528599747
GPR56	NM_001145770,NM_001145771,NM_001145772,NM_001145773,NM_001145774,NM_001290142,NM_001290143,NM_001290144,NM_005682,NM_201524,NM_201525	0.0092137972	0.9780971307
NOTCH4	NM_004557	0.2197996746	0.7452912819
FZD9	NM_003508	0.3479758454	NA
C1orf116	NM_001083924,NM_023938	0.7440090476	0.1339408894
ZDHHC24	NM_207340	-0.0302940947	0.9128109008
SOX3	NM_005634	-0.2857914889	0.3189406599
RBM12B	NM_203390	0.2455152208	0.0836464339
ZNF674-AS1	NR_015378	-1.5694073177	1.1013310467677E-006
MFGE8	NM_001114614,NM_005928	0.1937524255	0.4699655483
GLI3	NM_000168	1.3918866344	6.46671205956037E-007
USP27X-AS1	NR_026742	-0.2056127204	0.763714389
IMPACT	NM_018439	-0.613777388	8.65602061426651E-005
PPAT	NM_002703	0.0304155091	0.8999666243
EBLN2	NM_018029	-0.1205124569	0.8334559129
HOTS	NM_001293171	1.2281658863	0.0079341846
EFNA2	NM_001405	0.4573652672	NA
AKAP10	NM_007202	-0.2783033343	0.1048107962
ATF3	NM_001030287,NM_001040619,NM_001206484,NM_001206486,NM_001206488,NM_001674	-0.5378601935	0.2306600527
MGST2	NM_001204366,NM_001204367,NM_001204368,NM_002413	0.2615868845	0.2948743427
CCDC63	NM_001286243,NM_001286244,NM_152591	-0.1855691132	0.7734251192
PABPN1	NM_004643	0.1071224424	0.5889032833
CRKL	NM_005207	0.2240946913	0.1002809238
POTEM	NM_001145442	-0.6284002677	0.1685812114
KLHL18	NM_025010	0.0235593548	0.9412278838
XRCC3	NM_001100118,NM_001100119,NM_005432	0.6682414257	0.0001265253
WWP2	NM_001270453,NM_001270454,NM_001270455,NM_007014,NM_199424	0.4663830357	0.0014496456
SSH3	NM_017857	0.0575584189	0.825837618
PLEKHH3	NM_024927,NR_073573,NR_073574	-0.1923794257	0.3419052709
SLC22A20	NM_001004326,NR_033396	-0.1954600074	NA
MAFG-AS1	NR_015454	0.2121012239	NA
PIK3R4	NM_014602	-0.1484686084	0.3975587637
DCAF4	NM_001163508,NM_001163509,NM_015604,NM_181340,NM_181341	-0.4448900866	0.0023016285
TMED7-TICAM2	NM_001164468,NM_001164469	-0.9061728036	0.0025355817
AJUBA	NM_001289097,NM_032876,NM_198086	-0.3997798303	0.0069356325
BTBD7	NM_001002860,NM_001289133,NM_018167	-0.2730540578	0.0615149102
RTN4R	NM_023004	0.7523017053	0.0515957642
TCF25	NM_014972	0.2948295413	0.0240665212
NMNAT1	NM_001297778,NM_001297779,NM_022787	-0.1046436899	0.6732916052
HIST3H2A	NM_033445	0.2141707967	0.4449562919
SSRP1	NM_003146	0.9454165453	3.18205969831547E-006
CCT3	NM_001008800,NM_005998,NR_036564,NR_036565	0.3968079741	0.0616423447
IDUA	NM_000203,NR_110313	-0.8500484841	0.0153848627
HNRNPUL2	NM_001079559	0.4824989379	0.0023763535
TPM4	NM_001145160,NM_003290	0.4002009033	0.0025651286
RPL19P12	NR_026660	0.1132221576	NA
GPR65	NM_003608	-0.1666792694	NA
ZMYM1	NM_001289088,NM_001289089,NM_001289090,NM_001289091,NM_024772	0.0903076556	0.7313667089
SIRT3	NM_001017524,NM_012239	-0.5277900143	0.0635848354
PUS3	NM_001271985,NM_031307	-0.4295841927	0.2153830623
CEP295	NM_033395	-0.2777358414	0.10791875
ARNT	NM_001197325,NM_001286035,NM_001286036,NM_001668,NM_178427	0.4731808606	0.0004185587
P4HA2	NM_001017973,NM_001017974,NM_001142598,NM_001142599,NM_004199	0.3100284654	0.0686312683
GOSR2	NM_001012511,NM_004287,NM_054022	0.1473026076	0.3818668351
LOC102724699	NR_125409	-0.3302836767	0.1309606023
CD3EAP	NM_001297590,NM_012099	0.1644434589	0.6289357189
ZNF569	NM_152484	0.0831294303	0.8914810438
POFUT1	NM_015352,NM_172236	-0.3711116084	0.011863022
NUDT12	NM_001300741,NM_031438	-0.690371831	0.0016086903
EIF3M	NM_006360	-0.1927911569	0.156747037
KIF9-AS1	NR_033373	0.5787849935	0.3415209186
KIT	NM_000222,NM_001093772	1.0288110187	0.0586497741
SUV39H1	NM_001282166,NM_003173	0.8994028358	0.0001426217
NPIPB3	NM_130464	-0.7153672758	0.0428746928
MMP1	NM_001145938,NM_002421	-0.5737023829	NA
GAS2L1	NM_001278730,NM_006478,NM_152236	0.1770183405	0.6066864289
SNORA81	NR_002989	-0.4376135433	0.4122875841
HAUS6	NM_001270890,NM_017645	-0.0963361272	0.6205704986
DHRS4-AS1	NR_023921,NR_023922,NR_023923,NR_023924	-0.223413967	0.2386475458
MMP24-AS1	NR_102705,NR_102706	-0.3156571	0.2664842023
GUSBP5	NR_003675	0.2139226047	0.758199151
TMPRSS7	NM_001042575,NR_026734	0.001754707	NA
ZNF804A	NM_194250	-0.1428423103	NA
LOC101929231	NR_110240	-0.0362663876	NA
TNFRSF11A	NM_001270949,NM_001270950,NM_001270951,NM_001278268,NM_003839	-0.2440628785	0.6223039373
NDUFAF5	NM_001039375,NM_024120,NR_029377	-0.4528201189	0.1053557515
PTPN7	NM_001199797,NM_002832,NM_080588,NR_037663,NR_037664	-0.5990115136	NA
RHBDD3	NM_012265	-0.0630654119	0.8360030058
PLEKHA5	NM_001143821,NM_001190860,NM_001256470,NM_001256787,NM_019012	-0.1456269896	0.5457731508
TNS1	NM_022648	0.1879434244	0.6300065639
YAP1	NM_001130145,NM_001195044,NM_001195045,NM_001282097,NM_001282098,NM_001282099,NM_001282100,NM_001282101,NM_006106	0.3103336358	0.0752720892
L2HGDH	NM_024884	0.2106998509	0.2354613705
VCL	NM_003373,NM_014000	0.1789670816	0.2819714077
HIST2H3D	NM_001123375	2.4606170969	2.46855436882904E-039
LRRC69	NM_001129890	-0.2646211683	NA
DFFA	NM_004401,NM_213566	0.3078152004	0.1461895686
PTPN18	NM_001142370,NM_014369	0.4864103061	0.0086596084
ATG9A	NM_001077198,NM_024085,NR_104255	-0.0765872927	0.7047072393
C12orf60	NM_175874	-0.7953591599	0.0973728684
TNKS1BP1	NM_033396	0.4283432818	0.0064707519
CLMN	NM_024734	-0.1755654216	0.505902621
NAV3	NM_001024383,NM_014903	-0.5784860132	0.2466995304
CPEB3	NM_001178137,NM_014912	-0.0183115359	0.9655277705
RSAD2	NM_080657	0.0841065152	0.9091806964
EXOC2	NM_018303,NR_073064	0.0394837667	0.8460127895
KLK7	NM_001207053,NM_001243126,NM_005046,NM_139277	-0.8985456177	NA
DCLRE1B	NM_022836	0.7259849736	8.27755115420676E-005
P3H2	NM_001134418,NM_018192	0.3218083523	NA
ATF6B	NM_001136153,NM_004381	-0.2025930654	0.2281093845
NAA25	NM_024953	-0.3567166453	0.0318733916
DNER	NM_139072	-0.5301013398	NA
CCND3	NM_001136017,NM_001136125,NM_001136126,NM_001287427,NM_001287434,NM_001760	0.2417840051	0.2391011966
IMPG1	NM_001282368,NM_001563	-0.6935867703	0.2392963176
GPATCH2	NM_001297754,NM_018040	-0.4844430052	0.00020342
FAM13A	NM_001015045,NM_001265578,NM_001265579,NM_001265580,NM_014883	-0.2177673499	0.6969754489
DNAAF1	NM_178452	-0.1724901028	0.699726775
POU3F1	NM_002699	-0.1839474659	NA
APPL2	NM_001251904,NM_001251905,NM_018171	0.2273485605	0.1789303522
PRRG4	NM_024081	-0.116768811	0.7413650478
ZBTB41	NM_194314	-0.0999121446	0.7155964989
ACLY	NM_001096,NM_001303274,NM_001303275,NM_198830	0.9199052178	2.19897716874333E-007
C10orf32-ASMT	NR_037644	0.2012247595	0.7723124444
TMEM177	NM_001105198,NM_001105199,NM_030577	0.0662920355	0.8635192694
SNTB2	NM_006750	0.4784919287	0.0010452206
SMIM14	NM_174921	0.8117221959	2.178537881028E-006
TM6SF1	NM_001144903,NM_023003	-0.93699245	0.0016595128
ATL2	NM_001135673,NM_022374,NR_024191	-0.3067441109	0.0254812942
SPAM1	NM_001174044,NM_001174045,NM_001174046,NM_003117,NM_153189	0.6482327319	0.2780655767
KIAA1715	NM_030650	0.6090338903	0.0037762288
LOC100287072	NR_073509	-0.0473209114	0.9466279305
RPS17	NM_001021,NM_001021_chr15:83205500_83209295,NR_111943,NR_111943_chr15:83205500_83209208,NR_111944,NR_111944_chr15:83205500_83209295	0.2465268254	0.1124290264
GPR160	NM_014373	-0.0642158796	0.8105212034
SENP5	NM_152699	-0.5059248805	0.0009308336
DNAJC8	NM_014280	0.1455591239	0.3736664942
TMEM18	NM_152834	-0.3644712897	0.1487437228
TIPARP	NM_001184717,NM_001184718,NM_015508	0.1273065001	0.6456459257
CCNI	NM_006835	0.6821604606	2.56401818535379E-007
EXT1	NM_000127	-0.1064945166	0.6298463929
SPATA24	NM_194296	0.0016212055	NA
HGSNAT	NM_152419	0.703337742	0.006922999
DOK6	NM_152721	-0.5551907905	NA
CADM2	NM_001167674,NM_001167675,NM_001256502,NM_001256503,NM_001256504,NM_001256505,NM_153184	-0.0411136161	NA
FANCD2	NM_001018115,NM_033084	1.9927772035	9.52737106025621E-015
MZT1	NM_001071775	0.1767992142	0.4501088656
KIAA1109	NM_015312	-0.4847946612	0.0007207812
TIMM13	NM_012458	-0.2308303115	0.4039902495
RNF168	NM_152617	-0.0305078408	0.864073014
RTCA-AS1	NR_110434,NR_110435	-0.0372511311	NA
KCNK3	NM_002246	-0.020759764	NA
CNPY3	NM_006586	-0.5690224275	0.000123653
PCAT6	NR_046325,NR_046326	-0.0896116078	0.8932059316
LOC100506804	NR_040081	-0.0196778931	NA
ATP2C2	NM_001286527,NM_001291454,NM_014861	0.6280291149	0.0015761374
SSR1	NM_001292008,NM_003144,NR_120448	-0.1297272159	0.3567864731
YIPF2	NM_024029	-0.1444804897	0.3931666885
GSS	NM_000178	0.4849341301	0.0180290275
HSD17B7	NM_016371	0.2156866147	0.4910021704
RPS6KC1	NM_001136138,NM_001287218,NM_001287219,NM_001287220,NM_001287221,NM_012424	-0.8480110703	4.44293449097726E-006
ZNF138	NM_001160183,NM_001271637,NM_001271638,NM_001271639,NM_001271640,NM_001271649,NM_006524,NR_073389,NR_073391	0.2735919416	0.219116465
HHEX	NM_002729	-0.3914588686	0.4367561661
SNORA24	NR_002963	-0.2558876235	0.6252410729
HMGN2	NM_005517	0.7670277925	7.04871775932529E-016
LRRC46	NM_033413	-0.5433491785	0.3763103319
PICALM	NM_001008660,NM_001206946,NM_001206947,NM_007166	0.19118808	0.1581136365
USP37	NM_020935	-0.0214135369	0.9103990588
OR2A9P	NR_002157,NR_002157_chr7:143996613_143997598	-0.1648393334	0.8016782224
AKAP1	NM_001242902,NM_001242903,NM_003488	-0.3197026688	0.00615756
SASH1	NM_015278	1.2123766185	2.95523424363622E-010
SPTBN4	NM_020971,NM_025213	-0.0147220354	0.9801489547
NECAB2	NM_019065	0.5821078351	NA
FAM207A	NM_058190	0.5229235635	0.0027597339
SLC25A3	NM_002635,NM_005888,NM_213611	0.8245617807	2.49932772647529E-007
LINC00637	NR_038436	0.4476911604	NA
LRP6	NM_002336	0.02189829	0.9186432302
PPID	NM_005038	-0.2562722815	0.2198530134
PPP2R2B	NM_001271899,NM_001271900,NM_001271948,NM_181674,NM_181675,NM_181676,NM_181677,NM_181678,NR_073526,NR_073527	-0.5128813227	0.3798476522
CHCHD2	NM_016139	0.344165302	0.0721381199
EMD	NM_000117	0.35089675	0.0270858421
HNRNPA1	NM_002136,NM_031157	0.6844392989	2.96143709103041E-010
HNRNPF	NM_001098204,NM_001098205,NM_001098206,NM_001098207,NM_001098208,NM_004966	0.1358291614	0.2222697741
PDXDC2P	NR_003610	-0.8760700923	9.78466424349729E-006
OR8D1	NM_001002917	0.0237041143	NA
MED13	NM_005121	-0.255940211	0.0136656944
CAMK2B	NM_001220,NM_001293170,NM_172078,NM_172079,NM_172080,NM_172081,NM_172082,NM_172083,NM_172084	0.6261475741	0.1177973653
KIF20B	NM_001284259,NM_016195	0.5272502697	0.0005211939
COX17	NM_005694	0.2054717699	0.3287639851
EPS8L3	NM_024526,NM_133181,NM_139053	-0.3407879128	NA
TMED4	NM_001303058,NM_001303059,NM_001303060,NM_001303061,NM_001303062,NM_182547	-0.0474913776	0.8252621414
FUT11	NM_001284194,NM_173540	0.1330377266	0.6073168373
CCDC136	NM_001201372,NM_022742	-0.4425655451	0.4408088259
ITSN2	NM_006277,NM_019595,NM_147152	-0.3832072951	0.0771293415
LOC100133315	NR_029192	0.9766623767	0.0493916822
AARS	NM_001605	0.7957792698	3.37944564779201E-007
LINC00923	NR_024172,NR_024173	-0.0756661419	0.9191407863
SEC61A1	NM_013336	0.0073735064	0.9701314796
BTRC	NM_001256856,NM_003939,NM_033637	0.0898493301	0.6814193209
FSD2	NM_001007122,NM_001281805,NM_001281806	-0.6869942774	0.0393238784
VANGL1	NM_001172411,NM_001172412,NM_138959	0.1820623873	0.1628229217
CCDC167	NM_138493	1.1446689905	0.0036701702
PITPNM1	NM_001130848,NM_004910	-0.7518959597	0.0002971132
ZNF790	NM_001242800,NM_001242801,NM_001242802,NM_206894	0.8944038273	0.0145752566
